epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,42.558,0.73378,0.73496,0.92944,1.00811,0,0.85738,0.82709,0.81927,0.6823,0.86083,0.82607,0.81127,0.69239,0.93897,1.11005,1.35058,1.09097,0,0.00058175,0.00058175,0.00058175
29,43.633,0.73044,0.61555,0.97017,1.00047,0,0.85738,0.82709,0.81927,0.6823,0.86083,0.82607,0.81127,0.69239,0.93897,1.11005,1.35058,1.09097,0,0.000557,0.000557,0.000557
30,44.8228,0.71548,0.67421,0.97035,0.98256,0,0.90015,0.83291,0.85682,0.71034,0.89679,0.82411,0.83899,0.70181,0.82576,1.11408,1.13788,1.06789,0,0.00053225,0.00053225,0.00053225
31,45.9715,0.68632,0.57818,0.9506,0.98412,0,0.88578,0.82691,0.88345,0.71835,0.87779,0.85035,0.85656,0.70094,0.8648,1.12352,1.06349,1.07158,0,0.0005075,0.0005075,0.0005075
32,46.9983,0.7743,0.70413,0.95915,1.00634,0,0.88578,0.82691,0.88345,0.71835,0.87779,0.85035,0.85656,0.70094,0.8648,1.12352,1.06349,1.07158,0,0.00048275,0.00048275,0.00048275
33,48.2473,0.6901,0.57136,0.88476,0.9645,0,0.87736,0.85947,0.89909,0.74359,0.88335,0.85774,0.88394,0.71775,0.82266,1.07667,1.01041,1.05258,0,0.000458,0.000458,0.000458
34,49.4467,0.69248,0.7294,0.87465,0.97142,0,0.87736,0.85947,0.89909,0.74359,0.88335,0.85774,0.88394,0.71775,0.82266,1.07667,1.01041,1.05258,0,0.00043325,0.00043325,0.00043325
35,50.5847,0.66522,0.64634,0.84589,0.9765,0,0.93636,0.83137,0.91039,0.74733,0.90687,0.84899,0.89624,0.75011,0.77449,0.99516,0.97641,1.0303,0,0.0004085,0.0004085,0.0004085
36,51.87,0.69773,0.67878,0.9149,0.98498,0,0.92276,0.85791,0.92016,0.73559,0.91431,0.85016,0.90822,0.76951,0.7668,0.9557,0.94029,1.0191,0,0.00038375,0.00038375,0.00038375
37,53.2653,0.64702,0.58009,0.88517,0.98324,0,0.92276,0.85791,0.92016,0.73559,0.91431,0.85016,0.90822,0.76951,0.7668,0.9557,0.94029,1.0191,0,0.000359,0.000359,0.000359
38,54.5736,0.65331,0.56775,0.88664,0.9364,0,0.93057,0.84965,0.90817,0.74287,0.92192,0.84184,0.89194,0.76642,0.73614,0.98149,0.93391,1.01399,0,0.00033425,0.00033425,0.00033425
39,55.7522,0.6625,0.58455,0.95133,0.9834,0,0.90666,0.86175,0.91271,0.76211,0.89859,0.85465,0.90344,0.76173,0.68127,0.96357,0.9442,1.00558,0,0.0003095,0.0003095,0.0003095
40,56.9272,0.60917,0.6055,0.86012,0.96661,0,0.90666,0.86175,0.91271,0.76211,0.89859,0.85465,0.90344,0.76173,0.68127,0.96357,0.9442,1.00558,0,0.00028475,0.00028475,0.00028475
41,80.4436,0.66666,0.5326,1.1293,1.04975,0,0.87645,0.8816,0.89931,0.76971,0.86999,0.87378,0.88489,0.74996,0.69249,1.02429,0.97486,1.0022,0,0.00026,0.00026,0.00026
42,84.549,0.66011,0.52522,1.10953,1.00274,0,0.87645,0.8816,0.89931,0.76971,0.86999,0.87378,0.88489,0.74996,0.69249,1.02429,0.97486,1.0022,0,0.00023525,0.00023525,0.00023525
43,85.7641,0.67927,0.51541,1.06718,0.97752,0,0.87519,0.88941,0.87853,0.74663,0.86903,0.8816,0.86455,0.7391,0.76065,1.03548,1.03583,1.01568,0,0.0002105,0.0002105,0.0002105
44,87.2411,0.64067,0.50348,1.10202,1.02683,0,0.87477,0.88941,0.87286,0.73531,0.86816,0.8816,0.87133,0.73969,0.77567,1.09028,1.06228,1.01245,0,0.00018575,0.00018575,0.00018575
45,88.7182,0.65014,0.53278,1.07081,1.01297,0,0.87477,0.88941,0.87286,0.73531,0.86816,0.8816,0.87133,0.73969,0.77567,1.09028,1.06228,1.01245,0,0.000161,0.000161,0.000161
46,89.9477,0.62406,0.5612,1.05507,0.98442,0,0.89144,0.88941,0.88835,0.75693,0.88782,0.87753,0.8844,0.75748,0.72286,1.12797,1.02686,1.00094,0,0.00013625,0.00013625,0.00013625
47,91.0897,0.60608,0.51048,1.04847,0.97319,0,0.90867,0.88485,0.91289,0.78495,0.88489,0.8816,0.89987,0.77677,0.66605,1.06067,0.98615,0.98349,0,0.0001115,0.0001115,0.0001115
48,92.412,0.65728,0.48292,1.07382,1.00589,0,0.90867,0.88485,0.91289,0.78495,0.88489,0.8816,0.89987,0.77677,0.66605,1.06067,0.98615,0.98349,0,8.675e-05,8.675e-05,8.675e-05
49,93.629,0.6122,0.53012,1.00576,0.96484,0,0.91923,0.88941,0.92791,0.80422,0.89666,0.86597,0.91274,0.79215,0.62788,1.01444,0.95267,0.97914,0,6.2e-05,6.2e-05,6.2e-05
50,94.8501,0.58188,0.49193,0.9959,0.94201,0,0.91923,0.88941,0.92791,0.80422,0.89666,0.86597,0.91274,0.79215,0.62788,1.01444,0.95267,0.97914,0,3.725e-05,3.725e-05,3.725e-05
